trade_date,monetary_policy,liquidity,growth,inflation,bond_supply,risk_appetite,rule_pressure,supporting_document_count,structured_observation_count,independent_event_count,monetary_policy_independent_event_count,liquidity_independent_event_count,growth_independent_event_count,inflation_independent_event_count,bond_supply_independent_event_count,risk_appetite_independent_event_count,monetary_policy_evidence_status,liquidity_evidence_status,growth_evidence_status,inflation_evidence_status,bond_supply_evidence_status,risk_appetite_evidence_status
2018-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,161,1,145,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-19,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,162,1,146,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-20,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,162,1,146,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-21,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,162,1,146,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-22,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,162,1,146,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-25,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,2,8,163,1,147,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-26,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,163,1,147,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-27,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,163,1,147,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-28,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,163,1,147,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-06-29,0.0,-0.585,0.0,0.0,0.0,0.0,0.0,1,8,163,1,147,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,163,1,147,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
2018-07-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8,163,1,147,2,4,9,0,insufficient_evidence,sufficient,insufficient_evidence,insufficient_evidence,sufficient,insufficient_evidence
